obs_id,location,cohort,age,dose,weight
259,93,2015,5,2,1
260,93,2016,5,2,1
261,93,2017,5,2,1
262,93,2018,5,2,1
263,93,2019,5,2,1
264,93,2020,5,2,1
265,93,2021,5,2,1
266,93,2022,5,2,1
267,94,2013,5,2,1
268,94,2014,5,2,1
269,94,2015,5,2,1
270,94,2016,5,2,1
271,94,2017,5,2,1
272,95,2013,5,2,1
273,95,2015,5,2,1
274,95,2016,5,2,1
275,95,2017,5,2,1
276,95,2018,5,2,1
277,95,2019,5,2,1
278,95,2020,5,2,1
279,95,2021,5,2,1
280,95,2022,5,2,1
281,96,2013,5,2,1
282,96,2014,5,2,1
283,96,2015,5,2,1
284,96,2016,5,2,1
285,96,2017,5,2,1
286,96,2018,5,2,1
287,96,2019,5,2,1
288,96,2021,5,2,1
289,96,2022,5,2,1
290,97,2013,5,2,1
291,97,2014,5,2,1
292,97,2015,5,2,1
293,98,2017,5,2,1
294,98,2018,5,2,1
295,98,2019,5,2,1
296,98,2020,5,2,1
297,98,2021,5,2,1
298,98,2022,5,2,1
299,99,2013,5,2,1
300,99,2015,5,2,1
301,99,2016,5,2,1
302,99,2018,5,2,1
303,99,2019,5,2,1
304,99,2020,5,2,1
305,100,2013,5,2,1
306,100,2014,5,2,1
307,100,2015,5,2,1
308,100,2016,5,2,1
309,100,2017,5,2,1
310,100,2018,5,2,1
311,100,2019,5,2,1
312,100,2020,5,2,1
313,100,2021,5,2,1
314,101,2013,5,2,1
315,101,2014,5,2,1
316,101,2015,5,2,1
317,101,2016,5,2,1
318,101,2017,5,2,1
319,101,2018,5,2,1
320,101,2019,5,2,1
321,101,2020,5,2,1
322,101,2021,5,2,1
323,101,2022,5,2,1
324,102,2013,5,2,1
325,102,2014,5,2,1
326,102,2015,5,2,1
327,102,2016,5,2,1
328,102,2017,5,2,1
329,102,2018,5,2,1
330,102,2019,5,2,1
331,102,2020,5,2,1
332,102,2021,5,2,1
333,102,2022,5,2,1
334,103,2013,5,2,1
335,103,2014,5,2,1
336,103,2015,5,2,1
337,103,2016,5,2,1
338,103,2017,5,2,1
339,103,2018,5,2,1
340,103,2019,5,2,1
341,103,2020,5,2,1
342,103,2021,5,2,1
343,103,2022,5,2,1
344,104,2013,5,2,1
345,104,2014,5,2,1
346,104,2015,5,2,1
347,104,2016,5,2,1
348,104,2017,5,2,1
349,104,2018,5,2,1
350,104,2019,5,2,1
351,104,2020,5,2,1
352,104,2021,5,2,1
353,104,2022,5,2,1
354,105,2013,5,2,1
355,105,2014,5,2,1
356,105,2015,5,2,1
357,105,2016,5,2,1
358,105,2017,5,2,1
359,105,2018,5,2,1
360,105,2019,5,2,1
361,105,2020,5,2,1
362,105,2021,5,2,1
363,105,2022,5,2,1
364,106,2013,5,2,1
365,106,2014,5,2,1
366,106,2015,5,2,1
367,106,2016,5,2,1
368,106,2017,5,2,1
369,106,2018,5,2,1
370,106,2019,5,2,1
371,106,2021,5,2,1
372,106,2022,5,2,1
373,107,2013,5,2,1
374,107,2014,5,2,1
375,107,2015,5,2,1
376,107,2016,5,2,1
377,107,2017,5,2,1
378,107,2018,5,2,1
379,107,2019,5,2,1
380,107,2020,5,2,1
381,107,2021,5,2,1
382,107,2022,5,2,1
383,108,2021,5,2,1
384,108,2022,5,2,1
385,109,2013,5,2,1
386,109,2015,5,2,1
387,109,2022,5,2,1
388,110,2013,5,2,1
389,110,2015,5,2,1
390,111,2013,5,2,1
391,111,2014,5,2,1
392,111,2015,5,2,1
393,111,2016,5,2,1
394,111,2017,5,2,1
395,111,2018,5,2,1
396,111,2019,5,2,1
397,111,2020,5,2,1
398,111,2021,5,2,1
399,111,2022,5,2,1
400,112,2013,5,2,1
401,112,2014,5,2,1
402,112,2015,5,2,1
403,112,2016,5,2,1
404,112,2017,5,2,1
405,112,2018,5,2,1
406,112,2019,5,2,1
407,112,2020,5,2,1
408,112,2021,5,2,1
409,112,2022,5,2,1
410,113,2013,5,2,1
411,113,2014,5,2,1
412,113,2015,5,2,1
413,113,2016,5,2,1
414,113,2017,5,2,1
415,113,2018,5,2,1
416,113,2019,5,2,1
417,113,2020,5,2,1
418,113,2021,5,2,1
419,113,2022,5,2,1
420,114,2013,5,2,1
421,114,2014,5,2,1
422,114,2015,5,2,1
423,114,2016,5,2,1
424,114,2017,5,2,1
425,114,2018,5,2,1
426,114,2019,5,2,1
427,114,2020,5,2,1
428,114,2021,5,2,1
429,114,2022,5,2,1
430,115,2013,5,2,1
431,115,2014,5,2,1
432,115,2015,5,2,1
433,115,2016,5,2,1
434,115,2017,5,2,1
435,115,2018,5,2,1
436,115,2019,5,2,1
437,115,2020,5,2,1
438,115,2021,5,2,1
439,115,2022,5,2,1
440,116,2013,5,2,1
441,116,2014,5,2,1
442,116,2015,5,2,1
443,116,2016,5,2,1
444,116,2017,5,2,1
445,116,2018,5,2,1
446,116,2019,5,2,1
447,116,2020,5,2,1
448,116,2021,5,2,1
449,116,2022,5,2,1
450,117,2019,5,2,1
451,118,2013,5,2,1
452,118,2013,5,2,1
453,118,2014,5,2,1
454,118,2014,5,2,1
455,118,2015,5,2,1
456,118,2016,5,2,1
457,118,2017,5,2,1
458,119,2013,5,2,1
459,119,2014,5,2,1
460,119,2015,5,2,1
461,119,2016,5,2,1
462,119,2017,5,2,1
463,119,2018,5,2,1
464,119,2019,5,2,1
465,119,2020,5,2,1
466,119,2021,5,2,1
467,119,2022,5,2,1
468,120,2018,5,2,1
469,120,2019,5,2,1
470,120,2020,5,2,1
471,120,2021,5,2,1
472,120,2022,5,2,1
473,121,2013,5,2,1
474,121,2014,5,2,1
475,121,2015,5,2,1
476,121,2016,5,2,1
477,121,2017,5,2,1
478,121,2018,5,2,1
479,121,2019,5,2,1
480,121,2020,5,2,1
481,121,2021,5,2,1
482,121,2022,5,2,1
483,122,2013,5,2,1
484,122,2013,5,2,1
485,122,2014,5,2,1
486,122,2015,5,2,1
487,122,2015,5,2,1
488,122,2016,5,2,1
489,122,2016,5,2,1
490,122,2017,5,2,1
491,122,2018,5,2,1
492,122,2018,5,2,1
493,122,2019,5,2,1
494,122,2019,5,2,1
495,122,2020,5,2,1
496,122,2020,5,2,1
497,122,2021,5,2,1
498,123,2019,5,2,1
499,123,2020,5,2,1
500,123,2021,5,2,1
501,123,2022,5,2,1
502,124,2013,5,2,1
503,124,2014,5,2,1
504,124,2015,5,2,1
505,125,2013,5,2,1
506,125,2014,5,2,1
507,125,2015,5,2,1
508,125,2016,5,2,1
509,125,2017,5,2,1
510,125,2018,5,2,1
511,125,2019,5,2,1
512,125,2020,5,2,1
513,125,2021,5,2,1
514,125,2022,5,2,1
515,126,2013,5,2,1
516,126,2014,5,2,1
517,126,2015,5,2,1
518,126,2016,5,2,1
519,126,2017,5,2,1
520,126,2018,5,2,1
521,126,2019,5,2,1
522,126,2021,5,2,1
523,126,2022,5,2,1
524,127,2013,5,2,1
525,127,2014,5,2,1
526,127,2015,5,2,1
527,127,2016,5,2,1
528,127,2017,5,2,1
529,127,2018,5,2,1
530,127,2019,5,2,1
531,127,2020,5,2,1
532,127,2021,5,2,1
533,127,2022,5,2,1
534,128,2018,5,2,1
535,128,2019,5,2,1
536,128,2020,5,2,1
537,128,2021,5,2,1
538,128,2022,5,2,1
539,129,2013,5,2,1
540,129,2014,5,2,1
541,129,2015,5,2,1
542,129,2016,5,2,1
543,129,2017,5,2,1
544,129,2018,5,2,1
545,129,2019,5,2,1
546,129,2020,5,2,1
547,129,2021,5,2,1
548,129,2022,5,2,1
549,130,2022,5,2,1
550,131,2013,5,2,1
551,131,2014,5,2,1
552,131,2015,5,2,1
553,131,2016,5,2,1
554,131,2017,5,2,1
555,131,2018,5,2,1
556,131,2019,5,2,1
557,131,2020,5,2,1
558,131,2021,5,2,1
559,131,2022,5,2,1
560,132,2013,5,2,1
561,132,2014,5,2,1
562,132,2015,5,2,1
563,132,2016,5,2,1
564,132,2017,5,2,1
565,132,2018,5,2,1
566,132,2019,5,2,1
567,132,2020,5,2,1
568,132,2021,5,2,1
569,132,2022,5,2,1
570,133,2013,5,2,1
571,133,2014,5,2,1
572,133,2015,5,2,1
573,133,2016,5,2,1
574,133,2017,5,2,1
575,133,2018,5,2,1
576,133,2019,5,2,1
577,133,2020,5,2,1
578,133,2021,5,2,1
579,133,2022,5,2,1
580,134,2013,5,2,1
581,134,2014,5,2,1
582,134,2015,5,2,1
583,134,2016,5,2,1
584,134,2017,5,2,1
585,134,2018,5,2,1
586,134,2019,5,2,1
587,134,2020,5,2,1
588,134,2021,5,2,1
589,134,2022,5,2,1
590,135,2013,5,2,1
591,135,2014,5,2,1
592,135,2015,5,2,1
593,135,2016,5,2,1
594,135,2017,5,2,1
595,135,2018,5,2,1
596,135,2019,5,2,1
597,135,2020,5,2,1
598,135,2021,5,2,1
599,135,2022,5,2,1
600,136,2013,5,2,1
601,136,2014,5,2,1
602,136,2015,5,2,1
603,136,2016,5,2,1
604,137,2013,5,2,1
605,137,2014,5,2,1
606,137,2015,5,2,1
607,137,2016,5,2,1
608,137,2017,5,2,1
609,137,2018,5,2,1
610,137,2019,5,2,1
611,137,2020,5,2,1
612,137,2021,5,2,1
613,137,2022,5,2,1
614,138,2013,5,2,1
615,138,2014,5,2,1
616,138,2015,5,2,1
617,139,2013,5,2,1
618,139,2014,5,2,1
619,139,2015,5,2,1
620,139,2016,5,2,1
621,139,2017,5,2,1
622,139,2018,5,2,1
623,139,2019,5,2,1
624,139,2020,5,2,1
625,139,2021,5,2,1
626,139,2022,5,2,1
627,140,2013,5,2,1
628,140,2014,5,2,1
629,140,2015,5,2,1
630,140,2016,5,2,1
631,140,2017,5,2,1
632,140,2018,5,2,1
633,140,2019,5,2,1
634,140,2020,5,2,1
635,141,2013,5,2,1
636,141,2014,5,2,1
637,141,2015,5,2,1
638,141,2016,5,2,1
639,141,2017,5,2,1
640,141,2018,5,2,1
641,141,2019,5,2,1
642,141,2020,5,2,1
643,141,2021,5,2,1
644,141,2022,5,2,1
645,142,2013,5,2,1
646,142,2014,5,2,1
647,142,2015,5,2,1
648,142,2016,5,2,1
649,142,2017,5,2,1
650,142,2018,5,2,1
651,142,2019,5,2,1
652,142,2020,5,2,1
653,142,2021,5,2,1
654,142,2022,5,2,1
655,143,2020,5,2,1
656,143,2021,5,2,1
657,143,2022,5,2,1
658,144,2013,5,2,1
659,144,2014,5,2,1
660,144,2015,5,2,1
661,144,2016,5,2,1
662,144,2017,5,2,1
663,144,2018,5,2,1
664,144,2019,5,2,1
665,144,2020,5,2,1
666,144,2021,5,2,1
667,144,2022,5,2,1
668,145,2013,5,2,1
669,145,2014,5,2,1
670,145,2015,5,2,1
671,146,2013,5,2,1
672,146,2014,5,2,1
673,146,2015,5,2,1
674,146,2016,5,2,1
675,146,2017,5,2,1
676,146,2018,5,2,1
677,146,2019,5,2,1
678,146,2020,5,2,1
679,146,2021,5,2,1
680,146,2022,5,2,1
681,147,2013,5,2,1
682,147,2014,5,2,1
683,147,2015,5,2,1
684,147,2016,5,2,1
685,147,2017,5,2,1
686,147,2018,5,2,1
687,147,2019,5,2,1
688,147,2020,5,2,1
689,147,2021,5,2,1
690,147,2022,5,2,1
691,148,2013,5,2,1
692,148,2014,5,2,1
693,148,2015,5,2,1
694,148,2016,5,2,1
695,148,2017,5,2,1
696,148,2018,5,2,1
697,148,2019,5,2,1
698,148,2020,5,2,1
699,148,2021,5,2,1
700,148,2022,5,2,1
701,149,2013,5,2,1
702,149,2014,5,2,1
703,149,2015,5,2,1
704,149,2016,5,2,1
705,149,2017,5,2,1
706,149,2018,5,2,1
707,149,2019,5,2,1
708,149,2020,5,2,1
709,149,2021,5,2,1
710,149,2022,5,2,1
711,150,2013,5,2,1
712,150,2014,5,2,1
713,150,2015,5,2,1
714,150,2016,5,2,1
715,150,2017,5,2,1
716,150,2018,5,2,1
717,150,2019,5,2,1
718,150,2020,5,2,1
719,150,2021,5,2,1
720,150,2022,5,2,1
721,151,2014,5,2,1
722,151,2015,5,2,1
723,151,2016,5,2,1
724,151,2017,5,2,1
725,151,2018,5,2,1
726,151,2019,5,2,1
727,151,2020,5,2,1
728,151,2021,5,2,1
729,151,2022,5,2,1
730,152,2013,5,2,1
731,152,2014,5,2,1
732,152,2015,5,2,1
733,152,2015,5,2,1
734,152,2016,5,2,1
735,152,2016,5,2,1
736,152,2017,5,2,1
737,152,2018,5,2,1
738,152,2019,5,2,1
739,152,2020,5,2,1
740,152,2021,5,2,1
741,152,2022,5,2,1
742,153,2013,5,2,1
743,153,2014,5,2,1
744,153,2015,5,2,1
745,153,2016,5,2,1
746,153,2017,5,2,1
747,153,2018,5,2,1
748,153,2019,5,2,1
749,153,2020,5,2,1
750,153,2021,5,2,1
751,153,2022,5,2,1
752,154,2013,5,2,1
753,154,2014,5,2,1
754,154,2015,5,2,1
755,154,2016,5,2,1
756,154,2017,5,2,1
757,154,2018,5,2,1
758,154,2019,5,2,1
759,154,2020,5,2,1
760,154,2021,5,2,1
761,154,2022,5,2,1
762,155,2013,5,2,1
763,155,2014,5,2,1
764,155,2015,5,2,1
765,155,2016,5,2,1
766,155,2017,5,2,1
767,155,2018,5,2,1
768,155,2019,5,2,1
769,155,2020,5,2,1
770,155,2021,5,2,1
771,155,2022,5,2,1
772,156,2013,5,2,1
773,156,2014,5,2,1
774,156,2015,5,2,1
775,156,2016,5,2,1
776,156,2017,5,2,1
777,156,2018,5,2,1
778,156,2019,5,2,1
779,156,2020,5,2,1
780,156,2021,5,2,1
781,156,2022,5,2,1
782,157,2013,5,2,1
783,157,2014,5,2,1
784,157,2015,5,2,1
785,158,2013,5,2,1
786,158,2014,5,2,1
787,159,2013,5,2,1
788,159,2014,5,2,1
789,159,2015,5,2,1
790,159,2016,5,2,1
791,159,2017,5,2,1
792,159,2018,5,2,1
793,159,2019,5,2,1
794,159,2020,5,2,1
795,159,2021,5,2,1
796,159,2022,5,2,1
797,160,2016,5,2,1
798,160,2018,5,2,1
799,160,2021,5,2,1
800,161,2016,5,2,1
801,161,2017,5,2,1
802,161,2018,5,2,1
803,161,2019,5,2,1
804,161,2020,5,2,1
805,161,2021,5,2,1
806,161,2022,5,2,1
807,162,2013,5,2,1
808,162,2014,5,2,1
809,162,2015,5,2,1
810,162,2016,5,2,1
811,162,2017,5,2,1
812,162,2018,5,2,1
813,162,2019,5,2,1
814,162,2020,5,2,1
815,162,2021,5,2,1
816,162,2022,5,2,1
817,163,2013,5,2,1
818,163,2014,5,2,1
819,163,2015,5,2,1
820,163,2016,5,2,1
821,163,2017,5,2,1
822,163,2018,5,2,1
823,163,2019,5,2,1
824,163,2020,5,2,1
825,163,2021,5,2,1
826,163,2022,5,2,1
827,164,2013,5,2,1
828,164,2014,5,2,1
829,164,2015,5,2,1
830,164,2016,5,2,1
831,164,2017,5,2,1
832,164,2018,5,2,1
833,164,2019,5,2,1
834,164,2020,5,2,1
835,164,2021,5,2,1
836,164,2022,5,2,1
837,165,2013,5,2,1
838,165,2014,5,2,1
839,165,2015,5,2,1
840,165,2016,5,2,1
841,165,2017,5,2,1
842,165,2018,5,2,1
843,165,2019,5,2,1
844,165,2020,5,2,1
845,165,2021,5,2,1
846,165,2022,5,2,1
847,166,2013,5,2,1
848,166,2014,5,2,1
849,166,2015,5,2,1
850,166,2016,5,2,1
851,166,2017,5,2,1
852,166,2018,5,2,1
853,166,2019,5,2,1
854,166,2020,5,2,1
855,166,2021,5,2,1
856,166,2022,5,2,1
857,167,2013,5,2,1
858,167,2014,5,2,1
859,167,2015,5,2,1
860,167,2016,5,2,1
861,167,2017,5,2,1
862,167,2018,5,2,1
863,167,2019,5,2,1
864,167,2020,5,2,1
865,167,2021,5,2,1
866,167,2022,5,2,1
867,168,2013,5,2,1
868,168,2014,5,2,1
869,168,2015,5,2,1
870,168,2016,5,2,1
871,168,2017,5,2,1
872,168,2018,5,2,1
873,168,2019,5,2,1
874,168,2020,5,2,1
875,168,2021,5,2,1
876,168,2022,5,2,1
877,169,2013,5,2,1
878,169,2014,5,2,1
879,169,2015,5,2,1
880,169,2016,5,2,1
881,169,2017,5,2,1
882,169,2018,5,2,1
883,169,2019,5,2,1
884,169,2020,5,2,1
885,169,2021,5,2,1
886,169,2022,5,2,1
887,170,2013,5,2,1
888,170,2014,5,2,1
889,170,2015,5,2,1
890,170,2016,5,2,1
891,170,2017,5,2,1
892,170,2018,5,2,1
893,170,2019,5,2,1
894,170,2020,5,2,1
895,170,2021,5,2,1
896,170,2022,5,2,1
897,171,2017,5,2,1
898,172,2017,5,2,1
899,173,2013,5,2,1
900,173,2014,5,2,1
901,173,2015,5,2,1
902,173,2016,5,2,1
903,173,2017,5,2,1
904,173,2018,5,2,1
905,173,2019,5,2,1
906,173,2020,5,2,1
907,173,2021,5,2,1
908,173,2022,5,2,1
909,174,2013,5,2,1
910,174,2014,5,2,1
911,174,2015,5,2,1
912,174,2016,5,2,1
913,174,2017,5,2,1
914,174,2018,5,2,1
915,174,2019,5,2,1
916,174,2020,5,2,1
917,174,2021,5,2,1
918,174,2022,5,2,1
919,175,2013,5,2,1
920,175,2014,5,2,1
921,175,2015,5,2,1
922,175,2016,5,2,1
923,175,2017,5,2,1
924,175,2018,5,2,1
925,175,2019,5,2,1
926,175,2020,5,2,1
927,175,2021,5,2,1
928,175,2022,5,2,1
929,176,2013,5,2,1
930,176,2014,5,2,1
931,176,2015,5,2,1
932,176,2016,5,2,1
933,176,2017,5,2,1
934,176,2018,5,2,1
935,176,2019,5,2,1
936,176,2020,5,2,1
937,176,2021,5,2,1
938,176,2022,5,2,1
939,177,2013,5,2,1
940,177,2015,5,2,1
941,178,2013,5,2,1
942,178,2014,5,2,1
943,178,2015,5,2,1
944,178,2016,5,2,1
945,178,2017,5,2,1
946,178,2018,5,2,1
947,178,2019,5,2,1
948,178,2020,5,2,1
949,178,2021,5,2,1
950,178,2022,5,2,1
951,179,2013,5,2,1
952,179,2014,5,2,1
953,179,2015,5,2,1
954,179,2016,5,2,1
955,179,2017,5,2,1
956,179,2018,5,2,1
957,179,2019,5,2,1
958,179,2020,5,2,1
959,180,2013,5,2,1
960,180,2014,5,2,1
961,180,2015,5,2,1
962,180,2016,5,2,1
963,180,2017,5,2,1
964,180,2018,5,2,1
965,180,2019,5,2,1
966,180,2020,5,2,1
967,180,2021,5,2,1
968,180,2022,5,2,1
969,181,2013,5,2,1
970,181,2014,5,2,1
971,181,2015,5,2,1
972,181,2016,5,2,1
973,181,2017,5,2,1
974,181,2018,5,2,1
975,181,2019,5,2,1
976,181,2020,5,2,1
977,182,2013,5,2,1
978,182,2014,5,2,1
979,182,2015,5,2,1
980,182,2016,5,2,1
981,182,2017,5,2,1
982,182,2018,5,2,1
983,182,2019,5,2,1
984,182,2020,5,2,1
985,182,2022,5,2,1
986,183,2013,5,2,1
987,183,2014,5,2,1
988,183,2015,5,2,1
989,183,2016,5,2,1
990,183,2017,5,2,1
991,183,2018,5,2,1
992,183,2019,5,2,1
993,183,2020,5,2,1
994,184,2022,5,2,1
995,185,2013,5,2,1
996,185,2014,5,2,1
997,185,2015,5,2,1
998,185,2016,5,2,1
999,185,2017,5,2,1
1000,185,2018,5,2,1
1001,185,2019,5,2,1
1002,185,2020,5,2,1
1003,185,2021,5,2,1
1004,185,2022,5,2,1
1005,186,2013,5,2,1
1006,186,2014,5,2,1
1007,186,2015,5,2,1
1008,186,2016,5,2,1
1009,186,2017,5,2,1
1010,186,2018,5,2,1
1011,186,2019,5,2,1
1012,186,2020,5,2,1
1013,186,2021,5,2,1
1014,186,2022,5,2,1
1015,187,2013,5,2,1
1016,187,2014,5,2,1
1017,187,2015,5,2,1
1018,187,2016,5,2,1
1019,187,2017,5,2,1
1020,187,2018,5,2,1
1021,187,2019,5,2,1
1022,187,2020,5,2,1
1023,187,2021,5,2,1
1024,187,2022,5,2,1
1025,188,2013,5,2,1
1026,188,2014,5,2,1
1027,188,2015,5,2,1
1028,188,2016,5,2,1
1029,188,2017,5,2,1
1030,188,2018,5,2,1
1031,188,2019,5,2,1
1032,188,2020,5,2,1
1033,188,2021,5,2,1
1034,188,2022,5,2,1
1035,189,2019,5,2,1
1036,189,2020,5,2,1
1037,189,2021,5,2,1
1038,189,2022,5,2,1
1039,190,2013,5,2,1
1040,190,2014,5,2,1
1041,190,2015,5,2,1
1042,190,2016,5,2,1
1043,190,2017,5,2,1
1044,190,2018,5,2,1
1045,190,2019,5,2,1
1046,190,2020,5,2,1
1047,190,2021,5,2,1
1048,190,2022,5,2,1
1049,191,2013,5,2,1
1050,191,2014,5,2,1
1051,191,2015,5,2,1
1052,191,2016,5,2,1
1053,191,2017,5,2,1
1054,191,2018,5,2,1
1055,191,2019,5,2,1
1056,191,2020,5,2,1
1057,191,2021,5,2,1
1058,191,2022,5,2,1
1059,192,2013,5,2,1
1060,192,2014,5,2,1
1061,192,2015,5,2,1
1062,192,2016,5,2,1
1063,192,2017,5,2,1
1064,192,2018,5,2,1
1065,192,2019,5,2,1
1066,192,2020,5,2,1
1067,192,2021,5,2,1
1068,192,2022,5,2,1
