school_id,year,school_name,county_name,enrollment,current,med_exempt,rel_exempt,school_type,school_level,excluded_note,addr_clean,city,zip,state,business_status,lat,lon
414,2022,cornell elementary,alameda,95,93,0,0,public,NA,NA,920 talbot ave,Albany,94706,ca,operational,37.889751,-122.295403
1401,2022,rosa parks environmental science,alameda,66,65,0,0,public,NA,NA,920 allston way,Berkeley,94710,ca,operational,37.865395,-122.294563
426,2022,cragmont elementary,alameda,43,41,0,0,public,NA,NA,830 regal rd,Berkeley,94708,ca,operational,37.893925,-122.267342
542,2022,emerson elementary,alameda,42,40,0,0,public,NA,NA,4803 lawton ave,Oakland,94609,ca,operational,37.834419,-122.257942
1413,2022,ruth acty elementary,alameda,82,80,0,0,public,NA,NA,1465 acton st,Berkeley,94702,ca,operational,37.878937,-122.285103
1625,2022,sylvia mendez elementary,alameda,83,81,0,0,public,NA,NA,2840 ellsworth st,Berkeley,94705,ca,operational,37.857826,-122.262733
1067,2022,malcolm x elementary,alameda,100,99,0,0,public,NA,NA,1731 prince st,Berkeley,94703,ca,operational,37.852539,-122.273567
1639,2022,thousand oaks elementary,alameda,50,48,0,0,public,NA,NA,840 colusa ave,Berkeley,94707,ca,operational,37.892387,-122.280632
1710,2022,washington elementary,alameda,80,78,0,0,public,NA,NA,250 dutton ave,San Leandro,94577,ca,operational,37.732758,-122.157082
313,2022,castro valley elementary,alameda,108,107,0,0,public,NA,NA,20185 san miguel ave,Castro Valley,94546,ca,operational,37.697956,-122.082237
338,2022,chabot elementary,alameda,80,78,0,0,public,NA,NA,19104 lake chabot rd,Castro Valley,94546,ca,operational,37.706959,-122.089249
795,2022,independent elementary,alameda,141,140,1,0,public,NA,NA,21201 independent school rd,Castro Valley,94552,ca,operational,37.698746,-122.050758
1080,2022,marshall elementary,alameda,84,82,1,0,public,NA,NA,20111 marshall st,Castro Valley,94546,ca,operational,37.698601,-122.067055
1337,2022,proctor elementary,alameda,100,99,0,0,public,NA,NA,17520 redwood rd,Castro Valley,94546,ca,operational,37.716534,-122.073059
1570,2022,stanton elementary,alameda,104,103,0,0,public,NA,NA,2644 somerset ave,Castro Valley,94546,ca,operational,37.700626,-122.094109
1682,2022,vannoy elementary,alameda,111,110,0,0,public,NA,NA,5100 vannoy ave,Castro Valley,94546,ca,operational,37.707146,-122.059067
122,2022,anna yates elementary,alameda,68,67,0,0,public,NA,NA,4727 san pablo ave,Emeryville,94608,ca,operational,37.836433,-122.281914
839,2022,joshua chadbourne elementary,alameda,68,67,0,0,public,NA,NA,801 plymouth ave,Fremont,94539,ca,operational,37.54348,-121.940559
1120,2022,mission san jose elementary,alameda,38,36,0,0,public,NA,NA,43545 bryant st,Fremont,94539,ca,operational,37.528065,-121.922066
1257,2022,oliveira elementary,alameda,72,71,0,0,public,NA,NA,4180 alder ave,Fremont,94536,ca,operational,37.560341,-122.017151
1582,2022,steven millard elementary,alameda,76,74,0,0,public,NA,NA,5200 valpey park ave,Fremont,94538,ca,operational,37.519085,-121.974937
519,2022,eden gardens elementary,alameda,87,85,0,0,public,NA,NA,2184 thayer ave,Hayward,94545,ca,operational,37.637505,-122.107468
5725,2022,golden oak elementary,kern,128,127,0,0,public,NA,NA,190 s wall st,Shafter,93263,ca,operational,35.499245,-119.280319
17122,2022,toro park elementary,monterey,97,95,0,0,public,NA,NA,22500 portola dr,Salinas,93908,ca,operational,36.595619,-121.705116
36642,2022,linwood elementary,tulare,83,81,0,0,public,NA,NA,3129 s linwood st,Visalia,93277,ca,operational,36.301849,-119.34137
14168,2022,sumac elementary,los angeles,59,57,0,0,public,NA,NA,6050 n calmfield ave,Agoura Hills,91301,ca,operational,34.161385,-118.7556
9445,2013,watts learning center,los angeles,69,60,2,0,public,NA,NA,3751 s harvard blvd,Los Angeles,90018,ca,operational,34.019142,-118.307106
33485,2022,vinci park elementary,santa clara,121,120,0,0,public,NA,NA,1311 vinci park way,San Jose,95131,ca,operational,37.380322,-121.872269
32992,2022,parkview elementary,santa clara,93,91,0,0,public,NA,NA,330 bluefield dr,San Jose,95136,ca,operational,37.270512,-121.84523
32682,2022,los alamitos elementary,santa clara,118,117,0,0,public,NA,NA,6130 silberman dr,San Jose,95120,ca,operational,37.228367,-121.879387
9445,2014,watts learning center,los angeles,62,62,0,0,public,NA,NA,3751 s harvard blvd,Los Angeles,90018,ca,operational,34.019142,-118.307106
32389,2022,graystone elementary,santa clara,81,79,0,0,public,NA,NA,6982 shearwater dr,San Jose,95120,ca,operational,37.211628,-121.836693
33070,2022,rachel carson elementary,santa clara,37,35,0,0,public,NA,NA,4245 meg dr,San Jose,95136,ca,operational,37.269936,-121.855194
34967,2022,apple blossom,sonoma,65,63,0,0,public,NA,NA,700 watertrough rd,Sebastopol,95472,ca,operational,38.388569,-122.852516
37212,2022,cypress elementary,ventura,63,62,0,0,public,NA,NA,4200 kimber dr,Thousand Oaks,91320,ca,operational,34.1698,-118.963997
37788,2022,westlake hills elementary,ventura,81,79,0,0,public,NA,NA,3333 medicine bow ct,Westlake Village,91362,ca,operational,34.167801,-118.826897
28253,2022,sunset hills elementary,san diego,66,65,0,0,public,NA,NA,9291 oviedo st,San Diego,92129,ca,operational,32.968231,-117.127579
9445,2015,watts learning center,los angeles,71,71,0,0,public,NA,NA,3751 s harvard blvd,Los Angeles,90018,ca,operational,34.019142,-118.307106
27320,2022,miller elementary,san diego,141,138,0,0,public,NA,NA,1975 miller ave,Escondido,92025,ca,operational,33.096672,-117.079773
28251,2022,sunset elementary,san diego,77,75,0,0,public,NA,NA,3825 sunset ln,San Diego,92173,ca,operational,32.557598,-117.050201
15245,2022,wittmann (helen) elementary,los angeles,83,81,0,0,public,NA,NA,16801 yvette ave,Cerritos,90703,ca,operational,33.877544,-118.058495
12226,2022,nixon (patricia) elementary,los angeles,114,113,0,0,public,NA,NA,19600 jacob ave,Cerritos,90703,ca,operational,33.852192,-118.075325
1070,2015,manzanita community,alameda,87,86,0,0,public,NA,NA,2409 e 27th st,Oakland,94601,ca,operational,37.79184,-122.225151
29076,2022,san francisco community alternative,san francisco,24,22,0,0,public,NA,NA,125 excelsior ave,San Francisco,94112,ca,operational,37.726067,-122.432167
35623,2022,capistrano elementary,stanislaus,82,80,0,0,public,NA,NA,400 capistrano dr,Modesto,95354,ca,operational,37.644028,-120.941376
36005,2022,sonoma elementary,stanislaus,107,106,0,0,public,NA,NA,1325 sonoma ave,Modesto,95355,ca,operational,37.66283,-120.949265
13483,2022,santa monica alternative (k-8),los angeles,22,21,0,0,public,NA,NA,2525 5th st,Santa Monica,90405,ca,operational,34.005283,-118.481079
36542,2022,francis j. white learning center,tulare,197,195,0,0,public,NA,NA,700 n cypress st,Woodlake,93286,ca,operational,36.42588,-119.104454
18110,2022,del obispo elementary,orange,45,43,0,0,public,NA,NA,25591 camino del avion,San Juan Capistrano,92675,ca,operational,33.488293,-117.681252
18050,2022,courreges (roch) elementary,orange,113,112,0,0,public,NA,NA,18313 santa carlotta st,Fountain Valley,92708,ca,operational,33.696602,-117.975784
19342,2022,ralph e. hawes elementary,orange,139,131,0,0,public,NA,NA,9682 yellowstone dr,Huntington Beach,92646,ca,operational,33.667645,-117.958923
18850,2022,lomarena elementary,orange,105,104,0,0,public,NA,NA,25100 earhart rd,Laguna Hills,92653,ca,operational,33.595272,-117.692986
19449,2022,san joaquin elementary,orange,36,34,0,0,public,NA,NA,22182 barbera,laguna hills,92653,ca,operational,33.617622,-117.742158
19862,2022,vista verde,orange,73,72,0,0,public,NA,NA,6 federation way,Irvine,92603,ca,NA,33.622631,-117.786263
8414,2022,community magnet charter elementary,los angeles,69,68,0,0,charter,NA,NA,11301 bellagio rd,Los Angeles,90049,ca,closed_permanently,34.082527,-118.462669
24609,2022,jasper elementary,san bernardino,72,68,2,0,public,NA,NA,6881 jasper st,Rancho Cucamonga,91701,ca,NA,34.129601,-117.619598
2152,2022,wyandotte academy,butte,55,54,0,0,public,NA,NA,2800 wyandotte ave,Oroville,95966,ca,operational,39.501076,-121.541718
26828,2022,howard pence elementary,san diego,70,69,0,0,public,NA,NA,877 via tonga ct,San Diego,92154,ca,operational,32.5784,-117.062859
5594,2022,charles h. castle elementary,kern,153,151,0,0,public,NA,NA,6001 edgemont dr,Bakersfield,93309,ca,operational,35.329391,-119.066719
28301,2022,tiffany (burton c.) elementary,san diego,70,69,0,0,public,NA,NA,1691 elmhurst st,Chula Vista,91913,ca,operational,32.645306,-116.991493
27659,2022,otay elementary,san diego,84,80,0,0,public,NA,NA,1651 albany ave,Chula Vista,91911,ca,operational,32.596386,-117.057205
